starttime,tripduration
2020-09-01 06:15:00,510
2020-09-01 06:15:00,682
2020-09-01 06:15:00,943
2020-09-01 06:15:00,763
2020-09-01 06:15:00,978
2020-09-01 06:16:00,227
2020-09-01 06:16:00,1082
2020-09-01 06:17:00,362
2020-09-01 06:17:00,374
2020-09-01 06:17:00,1532
2020-09-01 06:18:00,920
2020-09-01 06:19:00,1093
2020-09-01 06:19:00,403
2020-09-01 06:19:00,369
2020-09-01 06:19:00,312
2020-09-01 06:19:00,363
2020-09-01 06:20:00,814
2020-09-01 06:21:00,549
2020-09-01 06:21:00,1238
2020-09-01 06:21:00,1312
2020-09-01 06:21:00,1079
2020-09-01 06:21:00,938
2020-09-01 06:21:00,442
2020-09-01 06:22:00,376
2020-09-01 06:22:00,436
2020-09-01 06:22:00,604
2020-09-01 06:22:00,1102
2020-09-01 06:23:00,621
2020-09-01 06:23:00,1009
2020-09-01 06:23:00,2280
2020-09-01 06:23:00,517
2020-09-01 06:23:00,995
2020-09-01 06:24:00,1105
2020-09-01 06:25:00,568
2020-09-01 06:25:00,350
2020-09-01 06:25:00,353
2020-09-01 06:25:00,1680
2020-09-01 06:25:00,412
2020-09-01 06:26:00,411
2020-09-01 06:26:00,1425
2020-09-01 06:26:00,625
2020-09-01 06:26:00,1561
2020-09-01 06:26:00,293
2020-09-01 06:27:00,934
2020-09-01 06:27:00,2290
2020-09-01 06:27:00,766
2020-09-01 06:28:00,1281
2020-09-01 06:28:00,862
2020-09-01 06:28:00,1768
2020-09-01 06:28:00,1691
2020-09-01 06:28:00,1126
2020-09-01 06:30:00,900
2020-09-01 06:30:00,208
2020-09-01 06:31:00,836
2020-09-01 06:31:00,791
2020-09-01 06:31:00,1238
2020-09-01 06:33:00,1957
2020-09-01 06:33:00,333
2020-09-01 06:33:00,1478
2020-09-01 06:33:00,217
2020-09-01 06:33:00,804
2020-09-01 06:33:00,684
2020-09-01 06:34:00,1357
2020-09-01 06:35:00,861
2020-09-01 06:35:00,384
2020-09-01 06:35:00,339
2020-09-01 06:35:00,411
2020-09-01 06:35:00,1180
2020-09-01 06:36:00,536
2020-09-01 06:36:00,1456
2020-09-01 06:37:00,868
2020-09-01 06:37:00,632
2020-09-01 06:37:00,949
2020-09-01 06:37:00,689
2020-09-01 06:37:00,1433
2020-09-01 06:37:00,356
2020-09-01 06:37:00,1395
2020-09-01 06:37:00,514
2020-09-01 06:37:00,671
2020-09-01 06:37:00,553
2020-09-01 06:37:00,837
2020-09-01 06:37:00,440
2020-09-01 06:38:00,616
2020-09-01 06:38:00,1124
2020-09-01 06:38:00,700
2020-09-01 06:38:00,394
2020-09-01 06:39:00,607
2020-09-01 06:39:00,825
2020-09-01 06:39:00,710
2020-09-01 06:39:00,462
2020-09-01 06:40:00,716
2020-09-01 06:40:00,2381
2020-09-01 06:41:00,1523
2020-09-01 06:41:00,511
2020-09-01 06:41:00,494
2020-09-01 06:42:00,470
2020-09-01 06:42:00,1265
2020-09-01 06:42:00,464
2020-09-01 06:43:00,675
2020-09-01 06:43:00,927
2020-09-01 06:43:00,312
2020-09-01 06:43:00,635
2020-09-01 06:43:00,704
2020-09-01 06:43:00,5180
2020-09-01 06:43:00,727
2020-09-01 06:43:00,636
2020-09-01 06:44:00,475
2020-09-01 06:45:00,693
2020-09-01 06:45:00,435
2020-09-01 06:45:00,404
2020-09-01 06:45:00,480
2020-09-01 06:46:00,1072
2020-09-01 06:46:00,656
2020-09-01 06:46:00,974
2020-09-01 06:46:00,1762
2020-09-01 06:46:00,847
2020-09-01 06:47:00,770
2020-09-01 06:48:00,469
2020-09-01 06:48:00,237
2020-09-01 06:48:00,591
2020-09-01 06:48:00,413
2020-09-01 06:48:00,171
2020-09-01 06:48:00,583
2020-09-01 06:48:00,1007
2020-09-01 06:48:00,432
2020-09-01 06:48:00,567
2020-09-01 06:48:00,1235
2020-09-01 06:49:00,790
2020-09-01 06:49:00,161
2020-09-01 06:49:00,915
2020-09-01 06:49:00,1717
2020-09-01 06:50:00,581
2020-09-01 06:50:00,770
2020-09-01 06:50:00,761
2020-09-01 06:50:00,404
2020-09-01 06:50:00,767
2020-09-01 06:50:00,255
2020-09-01 06:51:00,664
2020-09-01 06:52:00,564
2020-09-01 06:52:00,439
2020-09-01 06:52:00,831
2020-09-01 06:52:00,632
2020-09-01 06:52:00,1688
2020-09-01 06:53:00,177
2020-09-01 06:53:00,639
2020-09-01 06:53:00,1750
2020-09-01 06:53:00,1961
2020-09-01 06:53:00,728
2020-09-01 06:54:00,1575
2020-09-01 06:54:00,611
2020-09-01 06:55:00,780
2020-09-01 06:55:00,520
2020-09-01 06:56:00,360
2020-09-01 06:56:00,520
